主权	（二）“主权信用货币制”值得说明的是，“二战”后建立的“布雷顿森林体系”，即“美元与黄金挂钩，其他国家货币与美元挂钩”的“双挂钩”制度，其实质也是一种“金本位”制度，而1971年美国总统尼克松宣布美元与黄金脱钩也正式标志着美元放弃了以黄金为本位的货币制度，随之采取的是“主权信用货币制”<br>— 黄奇帆 · 《分析与思考》	黄奇帆 分析与思考 概念
腐败	中，冒险性支出是指能够带来经济增长，但也可能增加官员腐败的可<br>— 周黎安 · 《转型中的地方政府》 · p374	周黎安 转型中的地方政府 概念
集权	层面横向协调和整合度低三个特征，被称为中国政府治理的“集权—<br>— 周黎安 · 《转型中的地方政府》 · p97	周黎安 转型中的地方政府 概念
集权	这实际上对中央一地方关系提出了更高的要求，即要求中央政府的高度集权<br>— 周飞舟 · 《以利为利》	周飞舟 以利为利 概念
历史决定论	（在这方面，我完全同意历史决定论，即使我并不认为历史预言是社会科学的任务之一<br>— 波普尔 · 《历史决定论的贫困》	波普尔 历史决定论的贫困 概念
意识形态	“研究的政治”指的是学者的研究工作不可避免地受到资助方（经济）、专业领域发展、政府机构及其意识形态和行业内竞争等方面的影响<br>— 孙萍 · 《过渡劳动》	孙萍 过渡劳动 概念
附近	例如，有骑手会在群里公布自己即将去往附近哪个位置，有同一时间订单的骑手可以“搭顺风车”，即送给前一个骑手或者两人合成一人送单，对算法的规划实现“再整合”，省时省力<br>— 孙萍 · 《过渡劳动》	孙萍 过渡劳动 概念
附近	菜生产基地也不行，冬、春两季就不能保证供应。过去的蔬菜供应网，据我了解，上海的蔬菜并不是全靠郊区供应，而是把上海附近的松江专区〔３５〕、苏州专区〔３６〕的若干个县作为生产基地的，甚至还包括浙江的平湖、嘉兴等地区。北方也是如此。山东是大白菜的生产基地，河北的唐山、保定等地区也是蔬菜生产基地。除了保持和发展这些历史上形成的蔬菜生产基地外，新的城市还要建立新的秋菜生产基地。这种秋菜基地，今年可在部分地区试验多施化肥，看增施一定数量的化肥究竟能增产多少蔬菜。我国耕地不足，粮食困难，如果在几十万亩蔬菜基地用化肥能大量增产蔬菜，那就能解决很大问题。今年化肥不足，试验面积不必过大。如果效果好，明年可以专门进口一部分化肥用于种植蔬菜。蔬菜种植面积必须有“安全系数”。这就是说，种植面积要５６一定要把蔬菜供应问题解决好<br>— 陈云 · 《陈云文选·第三卷》 · p77	陈云 陈云文选第三卷 概念
控制权	[6] 剩余索取权不同于剩余控制权，它是指对利润或剩余收入（比<br>— 周黎安 · 《转型中的地方政府》 · p99	周黎安 转型中的地方政府 概念
控制权	换言之，激励设计的执行和效果因组织内其他控制权分配方式<br>— 周雪光 · 《中国国家治理的制度逻辑》 · p131	周雪光 中国国家治理的制度逻 概念
