:START_ID,:END_ID,:TYPE
a_100239,t_1193,IN_TOPIC
a_100241,t_8,IN_TOPIC
a_100241,t_1168,IN_TOPIC
a_100241,t_147,IN_TOPIC
a_100241,t_1204,IN_TOPIC
a_100241,t_1174,IN_TOPIC
a_100241,t_1208,IN_TOPIC
a_100241,t_17,IN_TOPIC
a_100241,t_29,IN_TOPIC
a_100241,t_78,IN_TOPIC
a_100241,t_36,IN_TOPIC
a_100241,t_1213,IN_TOPIC
a_100241,t_1180,IN_TOPIC
a_100241,t_160,IN_TOPIC
a_100247,t_147,IN_TOPIC
a_100247,t_1204,IN_TOPIC
a_100247,t_1174,IN_TOPIC
a_100247,t_1,IN_TOPIC
a_100247,t_43,IN_TOPIC
a_100247,t_3,IN_TOPIC
a_100247,t_32,IN_TOPIC
a_100247,t_1205,IN_TOPIC
a_100250,t_147,IN_TOPIC
a_100250,t_1204,IN_TOPIC
a_100250,t_1174,IN_TOPIC
a_100250,t_15,IN_TOPIC
a_100250,t_17,IN_TOPIC
a_100250,t_1,IN_TOPIC
a_100250,t_36,IN_TOPIC
a_100250,t_32,IN_TOPIC
a_100301,t_8,IN_TOPIC
a_100301,t_1195,IN_TOPIC
a_100301,t_15,IN_TOPIC
a_100301,t_1168,IN_TOPIC
a_100301,t_147,IN_TOPIC
a_100301,t_1204,IN_TOPIC
a_100301,t_1174,IN_TOPIC
a_100301,t_1208,IN_TOPIC
a_100301,t_3,IN_TOPIC
a_100301,t_17,IN_TOPIC
a_100301,t_78,IN_TOPIC
a_100301,t_36,IN_TOPIC
a_100301,t_1213,IN_TOPIC
a_100301,t_1175,IN_TOPIC
a_100301,t_1180,IN_TOPIC
a_100301,t_70,IN_TOPIC
a_100301,t_1189,IN_TOPIC
a_100301,t_1192,IN_TOPIC
a_100301,t_1193,IN_TOPIC
a_100301,t_1194,IN_TOPIC
a_100301,t_1199,IN_TOPIC
a_100301,t_1205,IN_TOPIC
a_100301,t_1131,IN_TOPIC
a_100352,t_1168,IN_TOPIC
a_100352,t_147,IN_TOPIC
a_100352,t_1208,IN_TOPIC
a_100352,t_31,IN_TOPIC
a_100352,t_36,IN_TOPIC
a_100352,t_1213,IN_TOPIC
a_100352,t_1172,IN_TOPIC
a_100352,t_160,IN_TOPIC
a_100353,t_147,IN_TOPIC
a_100353,t_31,IN_TOPIC
a_100353,t_3,IN_TOPIC
a_100353,t_36,IN_TOPIC
a_100359,t_1168,IN_TOPIC
a_100359,t_1208,IN_TOPIC
a_100359,t_1174,IN_TOPIC
a_100359,t_3,IN_TOPIC
a_100359,t_31,IN_TOPIC
a_100359,t_1185,IN_TOPIC
a_100359,t_1213,IN_TOPIC
a_100359,t_32,IN_TOPIC
a_100359,t_125,IN_TOPIC
a_100359,t_1172,IN_TOPIC
a_100359,t_160,IN_TOPIC
a_100375,t_8,IN_TOPIC
a_100375,t_1195,IN_TOPIC
a_100375,t_15,IN_TOPIC
a_100375,t_1168,IN_TOPIC
a_100375,t_147,IN_TOPIC
a_100375,t_1174,IN_TOPIC
a_100375,t_21,IN_TOPIC
a_100375,t_3,IN_TOPIC
a_100375,t_1176,IN_TOPIC
a_100375,t_1180,IN_TOPIC
a_100375,t_1187,IN_TOPIC
a_100375,t_1193,IN_TOPIC
a_100375,t_1173,IN_TOPIC
a_100400,t_8,IN_TOPIC
a_100400,t_15,IN_TOPIC
a_100400,t_1168,IN_TOPIC
a_100400,t_1204,IN_TOPIC
a_100400,t_1174,IN_TOPIC
a_100400,t_31,IN_TOPIC
a_100400,t_17,IN_TOPIC
a_100400,t_36,IN_TOPIC
a_100400,t_48,IN_TOPIC
a_100400,t_1175,IN_TOPIC
a_100400,t_32,IN_TOPIC
a_100400,t_70,IN_TOPIC
a_100400,t_1182,IN_TOPIC
a_100400,t_1186,IN_TOPIC
a_100400,t_1205,IN_TOPIC
a_100400,t_1131,IN_TOPIC
a_100400,t_1169,IN_TOPIC
a_100400,t_1172,IN_TOPIC
a_100431,t_1208,IN_TOPIC
a_100431,t_1204,IN_TOPIC
a_100431,t_1174,IN_TOPIC
a_100431,t_17,IN_TOPIC
a_100431,t_116,IN_TOPIC
a_100431,t_1213,IN_TOPIC
a_100439,t_1168,IN_TOPIC
a_100439,t_147,IN_TOPIC
a_100439,t_1204,IN_TOPIC
a_100439,t_1174,IN_TOPIC
a_100439,t_17,IN_TOPIC
a_100439,t_29,IN_TOPIC
a_100439,t_121,IN_TOPIC
a_100448,t_1208,IN_TOPIC
a_100448,t_1174,IN_TOPIC
a_100448,t_31,IN_TOPIC
a_100448,t_32,IN_TOPIC
a_100448,t_50,IN_TOPIC
a_100448,t_1213,IN_TOPIC
a_100451,t_1208,IN_TOPIC
a_100451,t_31,IN_TOPIC
a_100451,t_1185,IN_TOPIC
a_100451,t_48,IN_TOPIC
a_100451,t_1213,IN_TOPIC
a_100451,t_125,IN_TOPIC
a_100455,t_1208,IN_TOPIC
a_100455,t_8,IN_TOPIC
a_100455,t_147,IN_TOPIC
a_100455,t_31,IN_TOPIC
a_100455,t_42,IN_TOPIC
a_100455,t_123,IN_TOPIC
a_100455,t_1213,IN_TOPIC
a_100455,t_1180,IN_TOPIC
a_100455,t_1186,IN_TOPIC
a_100511,t_8,IN_TOPIC
a_100511,t_1,IN_TOPIC
a_100511,t_36,IN_TOPIC
a_100527,t_8,IN_TOPIC
a_100527,t_1195,IN_TOPIC
a_100527,t_1168,IN_TOPIC
a_100527,t_147,IN_TOPIC
a_100527,t_1204,IN_TOPIC
a_100527,t_1174,IN_TOPIC
a_100527,t_1,IN_TOPIC
a_100527,t_32,IN_TOPIC
a_100527,t_6,IN_TOPIC
a_100527,t_59,IN_TOPIC
a_100527,t_112,IN_TOPIC
a_100527,t_75,IN_TOPIC
a_100527,t_70,IN_TOPIC
a_100527,t_1199,IN_TOPIC
a_100527,t_1206,IN_TOPIC
a_100530,t_1168,IN_TOPIC
a_100530,t_147,IN_TOPIC
a_100530,t_31,IN_TOPIC
a_100530,t_108,IN_TOPIC
a_100530,t_1187,IN_TOPIC
a_100530,t_1172,IN_TOPIC
a_100533,t_8,IN_TOPIC
a_100533,t_11,IN_TOPIC
a_100533,t_1195,IN_TOPIC
a_100533,t_1204,IN_TOPIC
a_100533,t_1174,IN_TOPIC
a_100533,t_1,IN_TOPIC
a_100533,t_106,IN_TOPIC
a_100533,t_36,IN_TOPIC
a_100533,t_1175,IN_TOPIC
a_100533,t_1180,IN_TOPIC
a_100533,t_70,IN_TOPIC
a_100533,t_1131,IN_TOPIC
